url,title,outlet,bias,date
https://www.bbc.com/arabic/articles/c4g3rqvpnqdo?xtor=AL-73-%5Bpartner%5D-%5Blebanon.post%5D-%5Bheadline%5D-%5Barabic%5D-%5Bbizdev%5D-%5Bisapi%5D,"Trump signs order to impose tariffs on goods imported from Canada, Mexico and China",BBC News,center,2025-02-01
https://www.thehindu.com/news/international/trump-signs-executive-order-to-impose-tariffs-on-canada-mexico-and-china/article69170630.ece,"Trump signs executive order to impose tariffs on Canada, Mexico and China",The Hindu,leanLeft,2025-02-01
https://www.news18.com/world/us-imposes-tariffs-mexico-canada-china-trade-war-countries-retaliate-with-tariffs-donald-trump-signs-tariffs-order-9211457.html,"Canada Imposes 25% Tariffs Against US; Mexico, China Vow Retaliation After Trump Opens Trade War",News18 India,leanRight,2025-02-01
https://www.independent.co.uk/news/world/americas/us-politics/trump-tariffs-canada-mexico-china-b2690560.html,"Trump imposes sweeping tariffs on Canada, Mexico and China",The Independent,leanLeft,2025-02-01
https://www.ctvnews.ca/world/trumps-tariffs/article/trumps-tariffs-spurring-trade-war-as-north-american-allies-respond/,Trump’s tariffs spurring trade war as North American allies respond,CTV News,center,2025-02-01
https://apnews.com/article/trump-tariffs-mexico-canada-china-trade-taxes-6c2ae398d0dfab042fc2c9f139b27db5,What do Trump's executive orders say on tariffs and how would they work?,Associated Press News,leanLeft,2025-02-01
https://www.ndtv.com/world-news/donald-trump-imposes-sweeping-tariffs-on-canada-china-here-039-s-how-they-work-7614970,"Explained: What Are Tariffs Imposed By Donald Trump On Canada, Mexico",NDTV,leanRight,2025-02-01
https://www.reuters.com/business/trump-stretches-trade-law-boundaries-with-canada-mexico-china-tariffs-2025-02-02/,"Trump stretches trade law boundaries with Canada, Mexico, China tariffs – Advertising and Donations – advertising-newsandtimes.com",Reuters,center,2025-02-01
https://www.hindustantimes.com/world-news/why-did-donald-trump-impose-tariffs-on-canada-mexico-and-china-101738468259804.html,"Why did Donald Trump impose tariffs on Canada, Mexico and China?",Hindustan Times,leanLeft,2025-02-01
https://www.usatoday.com/story/news/politics/2025/02/01/trump-tariffs-canada-mexico-china/78133068007/,Trump imposes 25% tariffs on Canada and Mexico; China is hit with 10%,USA Today,leanLeft,2025-02-01
